route_pattern,route_kind,page_source,content_sources,repository_record_count,public_url_examples,sitemap_expected,search_coverage,edit_surface,evidence,notes
/guide/ob-argentine,editorial,src/app/guide/ob-argentine/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/guide/ob-argentine/page.tsx,
/immigration,editorial,src/app/immigration/page.tsx,,1,,yes,no_or_not_observed,page_component_or_runtime_provider,src/app/immigration/page.tsx,
/immigration/[slug],editorial,src/app/immigration/[slug]/page.tsx,content_pages_static,4,/immigration/dokumenty-dlya-vyezda|/immigration/obzor-vnzh|/immigration/prodlenie-turisticheskogo-vizita,yes,yes,static_data_or_cms_resolver,src/app/immigration/[slug]/page.tsx,
/insurance,service,src/app/insurance/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/insurance/page.tsx,
/itineraries,editorial,src/app/itineraries/page.tsx,,1,,yes,no_or_not_observed,page_component_or_runtime_provider,src/app/itineraries/page.tsx,
/itineraries/[slug],editorial,src/app/itineraries/[slug]/page.tsx,itineraries_static,3,/itineraries/buenos-aires-iguazu-5-days|/itineraries/northwest-7-days|/itineraries/patagonia-classic-10-days,yes,no_or_not_observed,static_data_or_cms_resolver,src/app/itineraries/[slug]/page.tsx,
/join,public_static,src/app/join/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/join/page.tsx,
/legal/[slug],public_static,src/app/legal/[slug]/page.tsx,legal_static,6,/legal/affiliate|/legal/booking|/legal/cookies,yes,yes,static_data_or_cms_resolver,src/app/legal/[slug]/page.tsx,
/map,editorial,src/app/map/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/map/page.tsx,
/mapa-argentina,editorial,src/app/mapa-argentina/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/mapa-argentina/page.tsx,
/organizers/[slug],marketplace,src/app/organizers/[slug]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/organizers/[slug]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/places,editorial,src/app/places/page.tsx,,1,,yes,no_or_not_observed,page_component_or_runtime_provider,src/app/places/page.tsx,
/places/[slug],editorial,src/app/places/[slug]/page.tsx,places_static,98,/places/aconcagua|/places/bahia-blanca|/places/banado-la-estrella,yes,yes,static_data_or_cms_resolver,src/app/places/[slug]/page.tsx,
/podbor,public_static,src/app/podbor/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/podbor/page.tsx,
/services,service,src/app/services/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/services/page.tsx,
/shop,marketplace,src/app/shop/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/shop/page.tsx,
/shop/[slug],marketplace,src/app/shop/[slug]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/shop/[slug]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/tours,marketplace,src/app/tours/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/tours/page.tsx,
/tours/[slug],marketplace,src/app/tours/[slug]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/tours/[slug]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/transfers,service,src/app/transfers/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/transfers/page.tsx,
