"asset_id","local_path","role","contexts","exists","width","height","format","alt_recorded","caption_recorded","rights_metadata_complete","issue_codes","highest_severity","status","owner","evidence"
"place-purmamarca-gallery-1","media/places/purmamarca/gallery-1.jpg","hero","place:purmamarca:cover;place:purmamarca:gallery","yes","800","600","jpeg","yes","yes","yes","hero_resolution","medium","review_required","Media editor","var/ops/media-rights-readiness.json"
"place-purmamarca-hero","media/places/purmamarca/hero.jpg","hero","blog:northwest-самостоятельно:card;blog:northwest-самостоятельно:hero;literal:src/lib/blog-post-image-bindings.ts;place:purmamarca:gallery","yes","1600","1200","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-purmamarca-gallery-1","media/argentina-travel/purmamarca/1624745072327-purmamarca___siete_colores__joaqu_n_carrillo.jpg","gallery","place:purmamarca:gallery","yes","1891","1256","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-purmamarca-gallery-2","media/argentina-travel/purmamarca/1624745078707-jujuy__139_.jpg","gallery","place:purmamarca:gallery","yes","2577","1718","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-purmamarca-gallery-3","media/argentina-travel/purmamarca/1624745084933-jujuy_purmamarca_paseo_de_los_colorados_canon_mk_iv__15_.jpg","gallery","place:purmamarca:gallery","yes","1988","1325","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-purmamarca-hero","media/argentina-travel/purmamarca/1624745057402-purmamarca___juan_aranda.jpg","hero","place:purmamarca:gallery","yes","1903","1267","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-iguazu-falls-hero","media/places/iguazu-falls/hero.jpg","hero","literal:src/data/blog-category-meta.ts;literal:src/data/blog.ts;literal:src/lib/blog-post-image-bindings.ts;place:iguazu-falls:cover;place:iguazu-falls:gallery","yes","1600","1200","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-iguazu-falls-gallery-1","media/places/iguazu-falls/gallery-1.jpg","gallery","place:iguazu-falls:gallery","yes","2560","1709","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-iguazu-falls-gallery-2","media/places/iguazu-falls/gallery-2.jpg","gallery","place:iguazu-falls:gallery","yes","2560","1706","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-iguazu-falls-gallery-3","media/places/iguazu-falls/gallery-3.jpg","gallery","place:iguazu-falls:gallery","yes","2560","552","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-iguazu-falls-gallery-4","media/places/iguazu-falls/gallery-4.jpg","gallery","place:iguazu-falls:gallery","yes","2560","1701","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-iguasu-gallery-1","media/argentina-travel/iguasu/1624893544983-cataratas_del_iguazu___2_____inprotur.jpg","gallery","blog:banado-la-estrella:rich-gallery;blog:natsionalnyy-park-ibera:rich-gallery;blog:natsionalnyy-park-iguasu:rich-gallery;place:iguazu-falls:gallery","yes","2146","1433","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-iguasu-gallery-2","media/argentina-travel/iguasu/1624893551239-iguazu__80_.jpg","gallery","place:iguazu-falls:gallery","yes","2161","1440","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-iguasu-gallery-3","media/argentina-travel/iguasu/1624893556107-iguazu__3_.jpg","gallery","place:iguazu-falls:gallery","yes","2883","2129","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-iguasu-hero","media/argentina-travel/iguasu/1624893534210-iguazu__72_.jpg","hero","page:places:index:hero;place:iguazu-falls:gallery","yes","2184","1456","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-perito-moreno-glacier-hero","media/places/perito-moreno-glacier/hero.jpg","hero","blog:patagonia-чек-лист:card;blog:patagonia-чек-лист:hero;literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;literal:src/lib/media/media-placeholders.ts;place:perito-moreno-glacier:cover;place:perito-moreno-glacier:gallery","yes","2560","1097","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-perito-moreno-glacier-gallery-1","media/places/perito-moreno-glacier/gallery-1.jpg","gallery","place:perito-moreno-glacier:gallery","yes","800","600","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-perito-moreno-glacier-gallery-2","media/places/perito-moreno-glacier/gallery-2.jpg","gallery","place:perito-moreno-glacier:gallery","yes","2276","2184","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-perito-moreno-glacier-gallery-3","media/places/perito-moreno-glacier/gallery-3.jpg","gallery","place:perito-moreno-glacier:gallery","yes","2560","1753","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-perito-moreno-glacier-gallery-4","media/places/perito-moreno-glacier/gallery-4.jpg","gallery","place:perito-moreno-glacier:gallery","yes","2000","1333","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-perito-moreno-gallery-1","media/argentina-travel/perito-moreno/1624743700054-calafate__2__2.jpg","gallery","kb:perito-moreno:gallery;place:perito-moreno-glacier:gallery","yes","2159","1439","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-perito-moreno-gallery-2","media/argentina-travel/perito-moreno/1624743706430-calafate__134__2.jpg","gallery","kb:perito-moreno:gallery;place:perito-moreno-glacier:gallery","yes","2885","1923","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-perito-moreno-gallery-3","media/argentina-travel/perito-moreno/1624743712507-calafate__160__2.jpg","gallery","kb:perito-moreno:gallery;place:perito-moreno-glacier:gallery","yes","1908","1272","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-perito-moreno-hero","media/argentina-travel/perito-moreno/1624743689500-calafate__170__2.jpg","hero","kb:perito-moreno:hero;page:tours:index:hero;place:perito-moreno-glacier:gallery","yes","2540","1178","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-fitz-roy-hero","media/places/fitz-roy/hero.jpg","hero","blog:patagonia-ветер:card;blog:patagonia-ветер:hero;literal:src/lib/blog-post-image-bindings.ts;place:fitz-roy:cover;place:fitz-roy:gallery","yes","1440","2560","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-los-glaciares-national-park-hero","media/places/los-glaciares-national-park/hero.jpg","hero","blog:natsionalnyy-park-ibera:card;blog:natsionalnyy-park-ibera:hero;blog:natsionalnyy-park-los-alerses:card;blog:natsionalnyy-park-los-alerses:hero;blog:natsionalnyy-park-patagonia:card;blog:natsionalnyy-park-patagonia:hero;literal:src/data/blog-category-meta.ts;literal:src/data/blog.ts;literal:src/lib/blog-post-image-bindings.ts;place:los-glaciares-national-park:cover;place:los-glaciares-national-park:gallery","yes","1920","715","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-los-glasiares-gallery-1","media/argentina-travel/los-glasiares/1640118449906-calafate__94_.jpg","gallery","blog:natsionalnye-parki-argentiny:rich-gallery;blog:natsionalnyy-park-los-glasiares:rich-gallery;kb:los-glasiares:gallery;place:los-glaciares-national-park:gallery","yes","2639","1759","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-los-glasiares-gallery-2","media/argentina-travel/los-glasiares/1640118459043-calafate__65_.jpg","gallery","kb:los-glasiares:gallery;place:los-glaciares-national-park:gallery","yes","2263","1509","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-los-glasiares-gallery-3","media/argentina-travel/los-glasiares/1640118479918-calafate__53_.jpg","gallery","kb:los-glasiares:gallery;place:los-glaciares-national-park:gallery","yes","2354","1569","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-los-glasiares-hero","media/argentina-travel/los-glasiares/1640118437187-calafate__162___1_.jpg","hero","kb:los-glasiares:hero;place:los-glaciares-national-park:gallery","yes","2039","1360","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-nahuel-huapi-national-park-hero","media/places/nahuel-huapi-national-park/hero.jpg","hero","blog:natsionalnyy-park-lanin:card;blog:natsionalnyy-park-lanin:hero;literal:src/data/blog.ts;literal:src/lib/blog-post-image-bindings.ts;place:nahuel-huapi-national-park:cover;place:nahuel-huapi-national-park:gallery","yes","2560","1726","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"blog-wildlife-с-гидом","media/places/valdes-peninsula/hero.jpg","hero","blog:patagonia-с-ребёнком:card;blog:patagonia-с-ребёнком:hero;literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;place:valdes-peninsula:cover;place:valdes-peninsula:gallery","yes","683","1024","jpeg","yes","yes","yes","hero_resolution","medium","review_required","Media editor","var/ops/media-rights-readiness.json"
"blog-rich-valdes-peninsula-national-park-gallery-1","media/places/valdes-peninsula/gallery-1.jpg","gallery","place:valdes-peninsula:gallery","yes","432","341","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-peninsula-valdes-gallery-1","media/argentina-travel/peninsula-valdes/1627314688246-angel_velez___peninsula_valdes_3.jpg","gallery","blog:natsionalnyy-park-poluostrov-valdes:rich-gallery;kb:peninsula-valdes:gallery;place:valdes-peninsula:gallery","yes","2169","1440","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-peninsula-valdes-gallery-2","media/argentina-travel/peninsula-valdes/1627314695936-lober_a_punta_norte_2.jpg","gallery","kb:peninsula-valdes:gallery;place:valdes-peninsula:gallery","yes","1742","979","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-peninsula-valdes-gallery-3","media/argentina-travel/peninsula-valdes/1627314702558-chubut___fauna__1_.jpg","gallery","kb:peninsula-valdes:gallery;place:valdes-peninsula:gallery","yes","2696","1798","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-peninsula-valdes-hero","media/argentina-travel/peninsula-valdes/1627314679824-caleta_valdes__3_.jpg","hero","kb:peninsula-valdes:hero;place:valdes-peninsula:gallery","yes","2362","1329","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-cerro-de-los-7-colores-hero","media/places/cerro-de-los-7-colores/hero.jpg","hero","literal:src/lib/blog-post-image-bindings.ts;place:cerro-de-los-7-colores:cover;place:cerro-de-los-7-colores:gallery","yes","1600","1200","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-cerro-de-los-7-colores-gallery-1","media/places/cerro-de-los-7-colores/gallery-1.jpg","gallery","place:cerro-de-los-7-colores:gallery","yes","2560","1437","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-tren-de-las-nubes-hero","media/places/tren-de-las-nubes/hero.jpg","hero","place:tren-de-las-nubes:cover;place:tren-de-las-nubes:gallery","yes","1000","666","jpeg","yes","yes","yes","hero_resolution","medium","review_required","Media editor","var/ops/media-rights-readiness.json"
"at-tren-a-las-nubes-gallery-1","media/argentina-travel/tren-a-las-nubes/1628592108042-foto_carlos_vergara___tren_a_las_nubes__1__baja.jpg","gallery","place:tren-de-las-nubes:gallery","yes","1963","1310","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
